ResponseId,UserLanguage,Q2_1,Q2_2,Q3,Q4,Q5,Q6_4,Q6_13,Q6_2,Q6_3,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_12_TEXT,Q7,Q7_8_TEXT,Q8,Q8_5_TEXT,Q9,Q9_10_TEXT,Q10,Q10_7_TEXT,Q11,Q12,Q13,Q14
R_3M5MaRtA8hkpmRk,EN,,,,"1st Grade,3rd Grade",,3,,7,2,5,6,8,9,10,11,1,12,,,,,,,,,,,,,
R_2XiH8D78PUzDghO,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_WxquCNgYkA4rXzP,ES-ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2aEPTkiiEqsP6CJ,EN,Permian Basin,Yukon,,3rd Grade,"$100,000 - $149,999",2,1,6,7,10,9,11,8,3,4,5,12,,Focus on whole child development,,Developing a well-rounded skillset,,Cost of attendance,,Referral from friend or family member,,No,,,
R_1FxqqxYFCfwL1wu,EN,Rio Grande Valley,Mission,,Pre-k,"$25,000 - $49,999",1,6,8,3,10,7,5,4,11,2,9,12,,"Focus on whole child development,Family partnership approach,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset,Pursuing a specific career of field,Developing strong character traits",,,,Online search,,Yes,,,
R_24zS49arVpnrvYZ,EN,Rio Grande Valley,Edinburg,,6th Grade,"$25,000 - $49,999",1,2,3,4,5,6,7,8,9,10,11,12,,"Reputation for academic excellence/Track record of success,The availability of extracurricular activities,Focus on whole child development,Commitment to college preparation,Family partnership approach,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset,Pursuing a specific career of field,Developing strong character traits",,"Availability of transportation,Safety and security,Curriculum and academic rigor,Career and Technical Education programs",,Referral from friend or family member,,Yes,,,
R_3EtfDm1KCmZ525d,ES-ES,Austin,Bluff Springs,,Kinder,"$50,000 - $74,999",4,6,9,7,8,10,3,5,11,2,1,12,,"Reputation for academic excellence/Track record of success,The availability of extracurricular activities,Focus on whole child development,Commitment to college preparation,Family partnership approach,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset,Developing strong character traits",,"Safety and security,Bilingual Education Program",,Billboard or other outdoor advertising,,Yes,Mooving,,
R_xxgKhHLUbB8i8q5,EN,El Paso,Edgemere,,6th Grade,"$100,000 - $149,999",2,3,4,8,11,9,5,7,6,10,1,12,,"Reputation for academic excellence/Track record of success,Commitment to college preparation,The availability of individualized learning opportunities",,"Developing a well-rounded skillset,Developing strong character traits",,"Cost of attendance,Safety and security",,Referral from friend or family member,,Yes,Moving on to middle school,Focus on studies and safe environment,Please keep our children safe!!!
R_1DUsCL6hEtdVsv2,EN,Austin,Rundberg,,9th Grade,"Less than $25,000",1,4,6,5,7,9,8,10,11,3,2,12,,"The availability of extracurricular activities,Focus on whole child development,Commitment to college preparation,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset,Pursuing a specific career of field",,Availability of transportation,,Referral from friend or family member,,No,,safety,no
R_1d6xDsogbZathsW,EN,Rio Grande Valley,San Juan,,9th Grade,"$25,000 - $49,999",1,4,3,5,7,9,12,10,6,2,8,11,,Commitment to college preparation,,Developing a well-rounded skillset,,Career and Technical Education programs,,Referral from friend or family member,,Yes,,,
