ResponseId,UserLanguage,Q2_1,Q2_2,Q3,Q4,Q15,Q16,Q17,Q18,Q18_4_TEXT,Q19,Q19_4_TEXT,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_11_TEXT,Q20,Q7,Q7_10_TEXT,Q12,Q13,Q14,Q21
R_3DornNiVP0NHLrq,EN,Rio Grande Valley,Brownsville,,Kinder,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_V2QZHzDjcIIbZtv,EN,,,,,,,,,,,,,1,3,2,4,5,8,11,6,7,9,10,,,,,,,,
R_3j2JVJQdEBiixa9,EN,,,,,,Hispanic/Latino,,,,,,,,,,,,,,,,,,,,,,,,,
R_1oBb5bhW4eSJRCo,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1oyY9zVdxqnHOfB,EN,,,,,,,,,,,,"$200,000 or more",,,,,,,,,,,,,,,,,,,
R_3KW7QpqFaIizJmz,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2pVvSEhmLZR8gxZ,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1LSesg8zlu6ct99,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3imVi5DJlMq7skq,ES-ES,Rio Grande Valley,Robindale,,"1st Grade,4th Grade",3-4 years,Hispanic/Latino,White,Single family in the home,,Myself,,"$25,000 - $49,999",1,2,3,8,6,9,4,10,7,11,5,,Maestros,Strong academic performance of students,,,.,,
R_5hBqaP093CZGsBr,EN,Rio Grande Valley,McAllen,,8th Grade,5+ years,Hispanic/Latino,White,Live with another family or multiple families,,Myself,,"$25,000 - $49,999",,,,,,,,,,,,,,"Strong academic performance of students,Extracurricular opportunities for students,Social emotional learning and growth",,,,,
R_3ix8mdYxhaIsZgZ,EN,Rio Grande Valley,Brownsville,Robindale,3rd Grade,3-4 years,Hispanic/Latino,White,Single family in the home,,Myself,,"$25,000 - $49,999",5,4,3,7,6,10,9,1,2,8,11,,Na,Relationship with teachers/staff,,Better communication ,More attention,Communication with teachers,Na
